psgmprogram@exchange.cobaltgroup.com|List- PS GM Program
n2o@exchange.cobaltgroup.com|List- Nitra N2O
admissiondisplaypilotorders@no-filter.exchange.cobaltgroup.com|List- AdMission Display Pilot Orders
italerts@exchange.cobaltgroup.com|List- IT Alerts
dapoperations@exchange.cobaltgroup.com|List- DAP Operations
devps@exchange.cobaltgroup.com|List- Dev PS
psvolvoprogram@exchange.cobaltgroup.com|List- PS Volvo Program
devcorepegasus@exchange.cobaltgroup.com|List- Dev CORE Pegasus
osbilling@exchange.cobaltgroup.com|List- OnStation Billing
ntadmin@exchange.cobaltgroup.com|List- IT NT Admins
lexus_lm2.9_migration_team@exchange.cobaltgroup.com|List- Lexus LM2.9 Migration Team
board@exchange.cobaltgroup.com|List- Cobalt Board
coremobile@exchange.cobaltgroup.com|List- Core Mobile
vwcanada@exchange.cobaltgroup.com|List- Sales VW Canada
oscreative@exchange.cobaltgroup.com|List- OnStation Creative
marketingemails@exchange.cobaltgroup.com|List- Marketing Emails
prospectorhelp@exchange.cobaltgroup.com|List- Prospector Help
onstationdbas@exchange.cobaltgroup.com|List- Onstation DBAs
osbod@cobaltgroup.com|List- OnStation BOD
seattle@exchange.cobaltgroup.com|List- Seattle
ossalesforceadmin@exchange.cobaltgroup.com|List- OnStation Salesforce Admin
gmchromeenrollment@exchange.cobaltgroup.com|List- GM Chrome Enrollment
ifsmgmt@exchange.cobaltgroup.com|List- IFS Mgmt
list-johnsstaff@exchange.cobaltgroup.com|List- John's Staff
pssubaruoperations@exchange.cobaltgroup.com|List- PS Subaru Operations
daserrp@exchange.cobaltgroup.com|List- DAS ERRP
newhires@exchange.cobaltgroup.com|List- Newhires
invdev@cobaltgroup.com|List- InvDev
lexuscoaches@exchange.cobaltgroup.com|List- Lexus Coaches
psdevlexusbackend@exchange.cobaltgroup.com|List- PS Dev Lexus Backend
ahmps@exchange.cobaltgroup.com|List- AHM PS
onstationcollections@exchange.cobaltgroup.com|List- OnStation Collections
ilearninghelp@exchange.cobaltgroup.com|List- iLearning Help
barracuda_admin@exchange.cobaltgroup.com|List- IT Barracuda Admin
admrdominypage@no-filter.exchange.cobaltgroup.com|rdominypage
devtopics@exchange.cobaltgroup.com|List- Dev Topics
osdealersales@exchange.cobaltgroup.com|List- OnStation Dealer Sales
collections@exchange.cobaltgroup.com|List- Credit/ Collections Dept.
ecareaccountadvocates@exchange.cobaltgroup.com|List- Customer Services Account Advocates
enterprisesalesgm@exchange.cobaltgroup.com|List- Enterprise Sales GM
osdealerisr@cobaltgroup.com|List- OnStation Dealer ISR
admpostmaster@no-filter.exchange.cobaltgroup.com|List- AdMission Postmaster
castironadmin@exchange.cobaltgroup.com|List- Cast Iron Admin
csg@exchange.cobaltgroup.com|List- Customer Services ETS
osproducts@exchange.cobaltgroup.com|List- OnStation Products
press2@exchange.cobaltgroup.com|List- Press
admsupport@no-filter.exchange.cobaltgroup.com|List- AdMission Support
dataproductsoncall@exchange.cobaltgroup.com|List- Data Products On Call
quality@exchange.cobaltgroup.com|List- Customer Services Quality Team
onstationdbas@no-filter.exchange.cobaltgroup.com|List- Onstation DBAs
SEMDev@exchange.cobaltgroup.com|List- SEM Dev
list-semengineering@exchange.cobaltgroup.com|List- SEM Engineering
admtory.blue.page@no-filter.exchange.cobaltgroup.com|tory.blue.page
osemarketing@exchange.cobaltgroup.com|List- OnStation eMarketing
admopssev2@no-filter.exchange.cobaltgroup.com|List- AdMission Ops Sev2
omteam@exchange.cobaltgroup.com|List- Production Order Mgmt Team
ossupport@cobaltgroup.com|List- OnStation Support
admopspgr@cobaltgroup.com|List- AdMission Ops Pager
devwebsites@exchange.cobaltgroup.com|List- Dev Websites
OOSExtracts-CadillacSubscription2010@exchange.cobaltgroup.com|List- OOS Extracts - Cadillac Subscription 2010
prodmktg@exchange.cobaltgroup.com|List- Product Marketing
osbilling@cobaltgroup.com|List- OnStation Billing
dailyleadssourcereports@exchange.cobaltgroup.com|List- IT Daily Leads Source Reports
pvsalesleads@exchange.cobaltgroup.com|List- Parts Works Sales Leads
osqa@cobaltgroup.com|List- OnStation QA
gmcurrentoffers@no-filter.exchange.cobaltgroup.com|List- GM Current Offers
oshotlist@cobaltgroup.com|List- OnStation Hotlist
oosextract-hyundai-subscription-2010@exchange.cobaltgroup.com|List- OOS Extract - Hyundai Subscription 2010
dpcore@exchange.cobaltgroup.com|List- Data Products Core
osengineering@exchange.cobaltgroup.com|List- OnStation Engineering
das@exchange.cobaltgroup.com|List- DAS
psgmcanada@exchange.cobaltgroup.com|List- PS GM Canada
financebars@exchange.cobaltgroup.com|List- Finance BARS
bizdev@exchange.cobaltgroup.com|List- BizDev
admorders@no-filter.exchange.cobaltgroup.com|List- AdMission Orders
3rdpartyoutages@exchange.cobaltgroup.com|List- eCare 3rdPartyOutages
isapps-error@exchange.cobaltgroup.com|List- IS App Error
listdevleads@exchange.cobaltgroup.com|List- DEV Leads
csproposal@exchange.cobaltgroup.com|List- PO CSProposal
semscrum@exchange.cobaltgroup.com|List- SEM Scrum
csfrenchsupport@exchange.cobaltgroup.com|List- CS French Support
stratdev@exchange.cobaltgroup.com|List- StratDev
directors@exchange.cobaltgroup.com|List- Directors
itopsmon@exchange.cobaltgroup.com|List- IT Operations Monitoring
nitrawsmtest@exchange.cobaltgroup.com|List- PM Nitra WSMTest
osbackup@exchange.cobaltgroup.com|List- OnStation Backup
lmschange@exchange.cobaltgroup.com|List- LMS Change
gcsmgmt@exchange.cobaltgroup.com|List- GCS Mgmt
cobalt.comwebmaster@no-filter.exchange.cobaltgroup.com|List- Cobalt.com Webmaster
avadmin@exchange.cobaltgroup.com|List- IT AV Admins
pwbuild@exchange.cobaltgroup.com|List- PartsWorks Build
osinsidesales@exchange.cobaltgroup.com|List- OnStation Inside Sales
jobs@exchange.cobaltgroup.com|List- HR Jobs
salesopsnotify@exchange.cobaltgroup.com|List- Sales Ops Notify
procaremanagement@exchange.cobaltgroup.com|List- Customer Services ProCare Mgmt Team
ecaremanage@exchange.cobaltgroup.com|List- Services Management Team
officeman@exchange.cobaltgroup.com|List- Office Managers
cobaltnews@exchange.cobaltgroup.com|List- Cobalt news
